axiom,label
DisjointClasses(<http://dbpedia.org/ontology/Biologist> <http://dbpedia.org/ontology/Agent>),0.115947231
DisjointClasses(<http://dbpedia.org/ontology/Area> <http://www.w3.org/2002/07/owl#Thing>),0.65875626
DisjointClasses(<http://dbpedia.org/ontology/PowerStation> <http://dbpedia.org/ontology/ArchitecturalStructure>),0.092362679
DisjointClasses(<http://dbpedia.org/ontology/Canoeist> <http://dbpedia.org/ontology/Agent>),0.146982759
DisjointClasses(<http://dbpedia.org/ontology/AcademicJournal> <http://dbpedia.org/ontology/Comic>),1
DisjointClasses(<http://dbpedia.org/ontology/Monument> <http://www.w3.org/2002/07/owl#Thing>),0.729187233
DisjointClasses(<http://dbpedia.org/ontology/TelevisionShow> <http://dbpedia.org/ontology/Work>),0.393155793
DisjointClasses(<http://dbpedia.org/ontology/Capital> <http://dbpedia.org/ontology/PopulatedPlace>),0.530016225
DisjointClasses(<http://dbpedia.org/ontology/Cardinal> <http://dbpedia.org/ontology/Agent>),0.154506438
DisjointClasses(<http://dbpedia.org/ontology/Arachnid> <http://dbpedia.org/ontology/Eukaryote>),0.049557934
DisjointClasses(<http://dbpedia.org/ontology/FilmFestival> <http://dbpedia.org/ontology/IceHockeyPlayer>),1
DisjointClasses(<http://dbpedia.org/ontology/Convention> <http://dbpedia.org/ontology/Tax>),1
DisjointClasses(<http://dbpedia.org/ontology/Singer> <http://dbpedia.org/ontology/Artist>),0.489273356
DisjointClasses(<http://dbpedia.org/ontology/Disease> <http://dbpedia.org/ontology/Deanery>),1
DisjointClasses(<http://dbpedia.org/ontology/Theatre> <http://dbpedia.org/ontology/CricketLeague>),1
DisjointClasses(<http://dbpedia.org/ontology/LawFirm> <http://dbpedia.org/ontology/WrittenWork>),1
DisjointClasses(<http://dbpedia.org/ontology/NascarDriver> <http://dbpedia.org/ontology/Athlete>),0.063953488
DisjointClasses(<http://dbpedia.org/ontology/Linguist> <http://dbpedia.org/ontology/Person>),0.138332727
